[catch_wm s0 d0] variant C_world_model on cpu; env synthetic:catch (sticky=0.0); actions ['NOOP', 'FIRE', 'RIGHT', 'LEFT']; budget 20000 decisions, warmup until 1000
[catch_wm s0 d19000] update 4500: loss_q=0.0187 loss_jepa=0.0559 loss_reward=0.0180 loss_continue=0.0426 loss_var=0.0000 latent_std_mean=0.5968
[catch_wm s0 d19047] episode 332: return +1, 54 decisions
[catch_wm s0 d19101] episode 333: return -1, 54 decisions
[catch_wm s0 d19159] episode 334: return +1, 58 decisions
[catch_wm s0 d19214] episode 335: return -3, 55 decisions
[catch_wm s0 d19270] episode 336: return -3, 56 decisions
[catch_wm s0 d19328] episode 337: return +3, 58 decisions
[catch_wm s0 d19383] episode 338: return +1, 55 decisions
[catch_wm s0 d19438] episode 339: return +1, 55 decisions
[catch_wm s0 d19495] episode 340: return -1, 57 decisions
[catch_wm s0 d19555] episode 341: return -1, 60 decisions
[catch_wm s0 d19608] episode 342: return -3, 53 decisions
[catch_wm s0 d19668] episode 343: return -1, 60 decisions
[catch_wm s0 d19727] episode 344: return +1, 59 decisions
[catch_wm s0 d19781] episode 345: return -1, 54 decisions
[catch_wm s0 d19837] episode 346: return +1, 56 decisions
[catch_wm s0 d19894] episode 347: return +3, 57 decisions
[catch_wm s0 d19950] episode 348: return +3, 56 decisions
[catch_wm s0 d20000] eval [q] return -2.00 ± 2.10 (10 episodes, 572 eval decisions)
[catch_wm s0 d20000] eval [lookahead] return -0.20 ± 3.16 (10 episodes, 572 eval decisions)
[catch_wm s0 d20000] checkpoint saved (4750 updates, 394s)
[catch_wm s0 d20000] done: 20000 decisions, 4750 updates, 348 episodes, 20000 training frames, 4576 eval decisions
